top - 21:06:25 up 77 days,  8:41,  1 user,  load average: 1.20, 0.82, 0.66
Tasks: 256 total,   5 running, 251 sleeping,   0 stopped,   0 zombie
%Cpu(s): 97.4 us,  2.6 sy,  0.0 ni,  0.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :  11843.9 total,   1412.8 free,   1989.5 used,   8441.5 buff/cache
MiB Swap:      0.0 total,      0.0 free,      0.0 used.   9372.5 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
1684753 muuurk    20   0   42728   6140   3532 R 100.0   0.1   0:02.92 stress-+
1684756 muuurk    20   0   42728   6148   3540 R 100.0   0.1   0:02.82 stress-+
1684755 muuurk    20   0   42728   6148   3540 R  94.1   0.1   0:02.91 stress-+
1684754 muuurk    20   0   42728   6140   3532 R  88.2   0.1   0:02.65 stress-+
      1 root      20   0  168552  13728   7988 S   0.0   0.1   6:13.08 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:02.09 kthreadd
      3 root      20   0       0      0      0 S   0.0   0.0   0:00.00 pool_wo+
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      7 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     12 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     13 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     14 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     15 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     16 root      20   0       0      0      0 S   0.0   0.0   2:51.50 ksoftir+
     17 root      20   0       0      0      0 I   0.0   0.0  91:55.03 rcu_pre+
     18 root      rt   0       0      0      0 S   0.0   0.0   1:15.68 migrati+
     19 root     -51   0       0      0      0 S   0.0   0.0  67:11.91 idle_in+
     20 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     21 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/2
     22 root     -51   0       0      0      0 S   0.0   0.0  67:07.77 idle_in+
     23 root      rt   0       0      0      0 S   0.0   0.0   1:14.77 migrati+
