mode,robot_pod,pid_node,samples,duration_s,sample_hz,min_angle,max_angle,max_abs_angle,fall_samples_abs_ge_0_785,influx_timeout_samples,log_main_thread_timeouts,log_exceptions_or_worker_catches,mean_delta_time_s,p95_delta_time_s,pid_request_count_from_logs,pid_request_mean_ms,pid_request_p95_ms,pid_request_max_ms,robot_restarts_before_after,condition,fell,stress_bogo_ops,stress_user_time_s,stress_sys_time_s,stressor_pod,stressor_node,stressor_priority_class,stressor_priority,stressor_cpu_request
be,robot-774f8577f7-wtg4z,beta,3023,110.312,27.404,-0.011363098,0.035123441,0.035123441,0,2,2,2,0.010058941,0.009999896,11031,8.292,9.55,108.525,0->1,clean,,,,,,,,,
gd,robot-8454756458-2dr7n,beta,1221,110.82,11.018,-0.00228222,0.002454829,0.002454829,0,9,15,18,0.010981716,0.009999915,4366,26.786,71.043,87.356,0->0,clean,,,,,,,,,
edf,robot-77dbffb475-dqhrn,beta,3499,110.519,31.66,-0.001168383,0.000398036,0.001168383,0,0,0,0,0.010008819,0.009999816,12021,7.445,8.891,63.311,0->0,clean,,,,,,,,,
be,robot-6975785fd9-b8kwf,beta,1103,110.675,9.966,-0.002218024,0.002427031,0.002427031,0,20,20,0,0.013146377,0.01705547,4014,29.302,34.207,46.336,0->0,net10,no,,,,,,,,
gd,robot-678c5b7d5b-mlprd,beta,569,97.856,5.815,-0.020616014,0.035069507,0.035069507,0,23,5,2,0.014920589,0.017645581,297,30.137,35.457,62.143,0->3,net10,no,,,,,,,,
edf,robot-5f4d4d5784-6fh5f,beta,1164,110.918,10.494,-0.002576503,0.002896123,0.002896123,0,5,5,6,0.010955002,0.013568245,4182,28.037,32.781,131.335,0->0,net10,no,,,,,,,,
be,robot-569bb9748d-wqd8s,beta,6356,110.432,57.556,-2.029999971,0.782537162,2.029999971,5826,397,426,846,0.034828598,0.131029725,719,49.361,60.936,70.865,0->2,net20,yes,,,,,,,,
gd,robot-6ffd4c89bd-xgjp9,beta,10995,110.07,99.891,-2.029999971,-2.029999971,2.029999971,10995,0,16,30,0.0100115,0.010000005,28,48.966,56.549,64.625,0->0,net20,yes,,,,,,,,
edf,robot-868f69d557-btffz,beta,11017,110.264,99.915,2.029999971,2.029999971,2.029999971,11017,0,22,42,0.010009166,0.010000005,42,47.141,61.259,70.984,0->0,net20,yes,,,,,,,,
be,robot-5d5cdd9d74-vh68c,beta,3663,110.772,33.068,-0.009631599,0.035173673,0.035173673,0,3,3,4,0.010122937,0.009999903,13622,6.107,11.528,103.579,0->1,host_cpu4_100,no,342165,438.62,5.54,,,,,
gd,robot-78c7868b76-8f449,beta,3097,103.08,30.045,-0.014151166,0.035058916,0.035058916,0,15,2,2,0.010520577,0.009999896,498,7.575,19.486,80.564,0->1,host_cpu4_100,no,312354,430.25,4.85,,,,,
edf,robot-64fc7c9d44-t6v89,beta,3857,110.153,35.015,-0.001064297,0.00036257,0.001064297,0,0,0,0,0.010016165,0.009999871,14268,5.776,10.795,37.194,0->0,host_cpu4_100,no,305710,431.34,6.64,,,,,
be,robot-cdcd6bd76-sp6cj,beta,10969,109.806,99.894,2.029999971,2.029999971,2.029999971,10969,0,28,54,0.01001119,0.010000006,18,223.282,380.445,453.673,0->0,k8s_highprio_cpu,yes,,,,rtfaas-cpu-stressor-be-1780569733,beta,rtfaas-high-priority-stressor,1000000,3500m
gd,robot-784bbd4b5c-lljnf,beta,1681,110.161,15.259,-0.017071836,0.035008617,0.035008617,0,4,4,0,0.010245256,0.00999991,6346,17.181,26.005,75.887,0->1,k8s_highprio_cpu,no,,,,rtfaas-cpu-stressor-gd-1780569908,beta,rtfaas-high-priority-stressor,1000000,3500m
edf,robot-647fb8448-d74x8,beta,2968,109.896,27.007,-0.001246891,0.000424811,0.001246891,0,0,0,0,0.010013444,0.009999888,10921,8.593,15.452,37.175,0->0,k8s_highprio_cpu,no,,,,rtfaas-cpu-stressor-edf-1780570084,beta,rtfaas-high-priority-stressor,1000000,3500m
