condition,mode,robot_pod,pid_node,samples,duration_s,sample_hz,min_angle,max_angle,max_abs_angle,fell,fall_samples_abs_ge_0_785,influx_timeout_samples,log_main_thread_timeouts,log_exceptions_or_worker_catches,mean_delta_time_s,p95_delta_time_s,pid_request_count_from_logs,pid_request_mean_ms,pid_request_p95_ms,pid_request_max_ms,robot_restarts_before_after,condition_label,stressor_pod,stressor_node,stressor_priority_class,stressor_priority,stressor_cpu_request,restart_before,restart_after,restart_delta,fell_bool
clean,be,robot-774f8577f7-wtg4z,beta,3023,110.312,27.404,-0.011363098,0.035123441,0.035123441,no,0,2,2,2,0.010058941,0.009999896,11031,8.292,9.55,108.525,0->1,Clean,,,,,,0,1,1,False
clean,gd,robot-8454756458-2dr7n,beta,1221,110.82,11.018,-0.00228222,0.002454829,0.002454829,no,0,9,15,18,0.010981716,0.009999915,4366,26.786,71.043,87.356,0->0,Clean,,,,,,0,0,0,False
clean,edf,robot-77dbffb475-dqhrn,beta,3499,110.519,31.66,-0.001168383,0.000398036,0.001168383,no,0,0,0,0,0.010008819,0.009999816,12021,7.445,8.891,63.311,0->0,Clean,,,,,,0,0,0,False
net10,be,robot-6975785fd9-b8kwf,beta,1103,110.675,9.966,-0.002218024,0.002427031,0.002427031,no,0,20,20,0,0.013146377,0.01705547,4014,29.302,34.207,46.336,0->0,Network 10 ms,,,,,,0,0,0,False
net10,gd,robot-678c5b7d5b-mlprd,beta,569,97.856,5.815,-0.020616014,0.035069507,0.035069507,no,0,23,5,2,0.014920589,0.017645581,297,30.137,35.457,62.143,0->3,Network 10 ms,,,,,,0,3,3,False
net10,edf,robot-5f4d4d5784-6fh5f,beta,1164,110.918,10.494,-0.002576503,0.002896123,0.002896123,no,0,5,5,6,0.010955002,0.013568245,4182,28.037,32.781,131.335,0->0,Network 10 ms,,,,,,0,0,0,False
net20,be,robot-569bb9748d-wqd8s,beta,6356,110.432,57.556,-2.029999971,0.782537162,2.029999971,yes,5826,397,426,846,0.034828598,0.131029725,719,49.361,60.936,70.865,0->2,Network 20 ms,,,,,,0,2,2,True
net20,gd,robot-6ffd4c89bd-xgjp9,beta,10995,110.07,99.891,-2.029999971,-2.029999971,2.029999971,yes,10995,0,16,30,0.0100115,0.010000005,28,48.966,56.549,64.625,0->0,Network 20 ms,,,,,,0,0,0,True
net20,edf,robot-868f69d557-btffz,beta,11017,110.264,99.915,2.029999971,2.029999971,2.029999971,yes,11017,0,22,42,0.010009166,0.010000005,42,47.141,61.259,70.984,0->0,Network 20 ms,,,,,,0,0,0,True
k8s_highprio_cpu,be,robot-cdcd6bd76-sp6cj,beta,10969,109.806,99.894,2.029999971,2.029999971,2.029999971,yes,10969,0,28,54,0.01001119,0.010000006,18,223.282,380.445,453.673,0->0,K8s high-priority CPU,rtfaas-cpu-stressor-be-1780569733,beta,rtfaas-high-priority-stressor,1000000.0,3500m,0,0,0,True
k8s_highprio_cpu,gd,robot-784bbd4b5c-lljnf,beta,1681,110.161,15.259,-0.017071836,0.035008617,0.035008617,no,0,4,4,0,0.010245256,0.00999991,6346,17.181,26.005,75.887,0->1,K8s high-priority CPU,rtfaas-cpu-stressor-gd-1780569908,beta,rtfaas-high-priority-stressor,1000000.0,3500m,0,1,1,False
k8s_highprio_cpu,edf,robot-647fb8448-d74x8,beta,2968,109.896,27.007,-0.001246891,0.000424811,0.001246891,no,0,0,0,0,0.010013444,0.009999888,10921,8.593,15.452,37.175,0->0,K8s high-priority CPU,rtfaas-cpu-stressor-edf-1780570084,beta,rtfaas-high-priority-stressor,1000000.0,3500m,0,0,0,False
